finetuned_sub-08_sub-08 : {'model': 'finetuned_sub-08', 'test_subject': 'sub-08', 'accuracy': 0.9436619718309859, 'f1': 0.9436507936507936, 'recall': 0.944047619047619, 'precision': 0.9447535771065183}
sub-01_sub-10 : {'model': 'sub-01', 'test_subject': 'sub-10', 'accuracy': 0.6805555555555556, 'f1': 0.6754850088183422, 'recall': 0.6805555555555556, 'precision': 0.6925925925925926}
sub-01_sub-11 : {'model': 'sub-01', 'test_subject': 'sub-11', 'accuracy': 0.7083333333333334, 'f1': 0.6865021770682148, 'recall': 0.7083333333333333, 'precision': 0.7887700534759359}
sub-01_sub-05 : {'model': 'sub-01', 'test_subject': 'sub-05', 'accuracy': 0.7681159420289855, 'f1': 0.765704584040747, 'recall': 0.7697478991596638, 'precision': 0.783068783068783}
sub-01_sub-02 : {'model': 'sub-01', 'test_subject': 'sub-02', 'accuracy': 0.7638888888888888, 'f1': 0.7531760435571688, 'recall': 0.7638888888888888, 'precision': 0.819327731092437}
sub-01_sub-03 : {'model': 'sub-01', 'test_subject': 'sub-03', 'accuracy': 0.6142857142857143, 'f1': 0.6078024486407968, 'recall': 0.6142857142857143, 'precision': 0.6223776223776224}
sub-01_sub-04 : {'model': 'sub-01', 'test_subject': 'sub-04', 'accuracy': 0.5277777777777778, 'f1': 0.5032467532467533, 'recall': 0.5343629343629344, 'precision': 0.5441906653426019}
finetuned_sub-06_sub-08 : {'model': 'finetuned_sub-06', 'test_subject': 'sub-08', 'accuracy': 0.676056338028169, 'f1': 0.6416502084704849, 'recall': 0.6805555555555556, 'precision': 0.8017241379310345}
finetuned_sub-06_sub-01 : {'model': 'finetuned_sub-06', 'test_subject': 'sub-01', 'accuracy': 0.647887323943662, 'f1': 0.6407609795587937, 'recall': 0.6550079491255962, 'precision': 0.6728723404255319}
finetuned_sub-06_sub-06 : {'model': 'finetuned_sub-06', 'test_subject': 'sub-06', 'accuracy': 0.8857142857142857, 'f1': 0.8857142857142857, 'recall': 0.886437908496732, 'precision': 0.886437908496732}
finetuned_sub-06_sub-07 : {'model': 'finetuned_sub-06', 'test_subject': 'sub-07', 'accuracy': 0.9166666666666666, 'f1': 0.9164086687306501, 'recall': 0.9166666666666667, 'precision': 0.921875}
finetuned_sub-06_sub-09 : {'model': 'finetuned_sub-06', 'test_subject': 'sub-09', 'accuracy': 0.6285714285714286, 'f1': 0.5790934320074006, 'recall': 0.6388888888888888, 'precision': 0.7833333333333333}
finetuned_sub-06_sub-10 : {'model': 'finetuned_sub-06', 'test_subject': 'sub-10', 'accuracy': 0.75, 'f1': 0.7401764234161989, 'recall': 0.75, 'precision': 0.7945454545454546}
finetuned_sub-06_sub-11 : {'model': 'finetuned_sub-06', 'test_subject': 'sub-11', 'accuracy': 0.9305555555555556, 'f1': 0.9302190346966466, 'recall': 0.9305555555555556, 'precision': 0.9390243902439024}
finetuned_sub-06_sub-05 : {'model': 'finetuned_sub-06', 'test_subject': 'sub-05', 'accuracy': 0.855072463768116, 'f1': 0.8512931034482758, 'recall': 0.8529411764705883, 'precision': 0.8888888888888888}
finetuned_sub-06_sub-02 : {'model': 'finetuned_sub-06', 'test_subject': 'sub-02', 'accuracy': 0.9166666666666666, 'f1': 0.9166023166023166, 'recall': 0.9166666666666666, 'precision': 0.9179566563467492}
finetuned_sub-06_sub-03 : {'model': 'finetuned_sub-06', 'test_subject': 'sub-03', 'accuracy': 0.6714285714285714, 'f1': 0.6452963207755013, 'recall': 0.6714285714285715, 'precision': 0.7430555555555556}
finetuned_sub-06_sub-04 : {'model': 'finetuned_sub-06', 'test_subject': 'sub-04', 'accuracy': 0.6527777777777778, 'f1': 0.6370235934664247, 'recall': 0.6474903474903475, 'precision': 0.6736363636363636}
finetuned_sub-07_sub-08 : {'model': 'finetuned_sub-07', 'test_subject': 'sub-08', 'accuracy': 0.8169014084507042, 'f1': 0.8131957093705727, 'recall': 0.819047619047619, 'precision': 0.8495652173913043}
finetuned_sub-07_sub-01 : {'model': 'finetuned_sub-07', 'test_subject': 'sub-01', 'accuracy': 0.7464788732394366, 'f1': 0.7464285714285714, 'recall': 0.7484101748807631, 'precision': 0.7492025518341308}
finetuned_sub-07_sub-06 : {'model': 'finetuned_sub-07', 'test_subject': 'sub-06', 'accuracy': 0.8714285714285714, 'f1': 0.8707692307692307, 'recall': 0.8741830065359477, 'precision': 0.8851976450798991}
finetuned_sub-07_sub-07 : {'model': 'finetuned_sub-07', 'test_subject': 'sub-07', 'accuracy': 0.9444444444444444, 'f1': 0.9444444444444444, 'recall': 0.9444444444444444, 'precision': 0.9444444444444444}
finetuned_sub-07_sub-09 : {'model': 'finetuned_sub-07', 'test_subject': 'sub-09', 'accuracy': 0.7428571428571429, 'f1': 0.7321428571428572, 'recall': 0.7491830065359477, 'precision': 0.8049999999999999}
finetuned_sub-07_sub-10 : {'model': 'finetuned_sub-07', 'test_subject': 'sub-10', 'accuracy': 0.8333333333333334, 'f1': 0.8285714285714285, 'recall': 0.8333333333333333, 'precision': 0.875}
finetuned_sub-07_sub-11 : {'model': 'finetuned_sub-07', 'test_subject': 'sub-11', 'accuracy': 0.9166666666666666, 'f1': 0.916083916083916, 'recall': 0.9166666666666667, 'precision': 0.9285714285714286}
finetuned_sub-07_sub-05 : {'model': 'finetuned_sub-07', 'test_subject': 'sub-05', 'accuracy': 0.8985507246376812, 'f1': 0.8971684053651267, 'recall': 0.8970588235294117, 'precision': 0.9166666666666667}
finetuned_sub-07_sub-02 : {'model': 'finetuned_sub-07', 'test_subject': 'sub-02', 'accuracy': 0.9027777777777778, 'f1': 0.9018500486854917, 'recall': 0.9027777777777778, 'precision': 0.9186046511627908}
finetuned_sub-07_sub-03 : {'model': 'finetuned_sub-07', 'test_subject': 'sub-03', 'accuracy': 0.6857142857142857, 'f1': 0.6577777777777778, 'recall': 0.6857142857142857, 'precision': 0.7757575757575758}
finetuned_sub-07_sub-04 : {'model': 'finetuned_sub-07', 'test_subject': 'sub-04', 'accuracy': 0.6111111111111112, 'f1': 0.5625, 'recall': 0.6023166023166023, 'precision': 0.6727509778357237}
finetuned_sub-09_sub-08 : {'model': 'finetuned_sub-09', 'test_subject': 'sub-08', 'accuracy': 0.6338028169014085, 'f1': 0.5819746376811594, 'recall': 0.628968253968254, 'precision': 0.7462121212121212}
finetuned_sub-09_sub-01 : {'model': 'finetuned_sub-09', 'test_subject': 'sub-01', 'accuracy': 0.6056338028169014, 'f1': 0.6055555555555556, 'recall': 0.6061208267090621, 'precision': 0.605952380952381}
finetuned_sub-09_sub-06 : {'model': 'finetuned_sub-09', 'test_subject': 'sub-06', 'accuracy': 0.8, 'f1': 0.7973531844499586, 'recall': 0.7973856209150327, 'precision': 0.8095238095238095}
finetuned_sub-09_sub-07 : {'model': 'finetuned_sub-09', 'test_subject': 'sub-07', 'accuracy': 0.6805555555555556, 'f1': 0.6566452415509019, 'recall': 0.6805555555555556, 'precision': 0.7502673796791444}
finetuned_sub-09_sub-09 : {'model': 'finetuned_sub-09', 'test_subject': 'sub-09', 'accuracy': 0.8571428571428571, 'f1': 0.8541666666666667, 'recall': 0.8537581699346406, 'precision': 0.8784965034965035}
finetuned_sub-09_sub-10 : {'model': 'finetuned_sub-09', 'test_subject': 'sub-10', 'accuracy': 0.7361111111111112, 'f1': 0.7356521739130435, 'recall': 0.7361111111111112, 'precision': 0.7377622377622377}
finetuned_sub-09_sub-11 : {'model': 'finetuned_sub-09', 'test_subject': 'sub-11', 'accuracy': 0.7361111111111112, 'f1': 0.7205311542390194, 'recall': 0.7361111111111112, 'precision': 0.8038728897715988}
finetuned_sub-09_sub-05 : {'model': 'finetuned_sub-09', 'test_subject': 'sub-05', 'accuracy': 0.7101449275362319, 'f1': 0.7025862068965517, 'recall': 0.7126050420168066, 'precision': 0.7391304347826086}
finetuned_sub-09_sub-02 : {'model': 'finetuned_sub-09', 'test_subject': 'sub-02', 'accuracy': 0.5833333333333334, 'f1': 0.520851818988465, 'recall': 0.5833333333333333, 'precision': 0.6741935483870968}
finetuned_sub-09_sub-03 : {'model': 'finetuned_sub-09', 'test_subject': 'sub-03', 'accuracy': 0.6714285714285714, 'f1': 0.655614973262032, 'recall': 0.6714285714285714, 'precision': 0.71}
finetuned_sub-09_sub-04 : {'model': 'finetuned_sub-09', 'test_subject': 'sub-04', 'accuracy': 0.5138888888888888, 'f1': 0.4851889683350358, 'recall': 0.5208494208494209, 'precision': 0.5277777777777778}
finetuned_sub-10_sub-08 : {'model': 'finetuned_sub-10', 'test_subject': 'sub-08', 'accuracy': 0.8028169014084507, 'f1': 0.8008814102564102, 'recall': 0.8043650793650794, 'precision': 0.8185215946843853}
finetuned_sub-10_sub-01 : {'model': 'finetuned_sub-10', 'test_subject': 'sub-01', 'accuracy': 0.6338028169014085, 'f1': 0.6166943521594684, 'recall': 0.625993640699523, 'precision': 0.6470315398886828}
finetuned_sub-10_sub-06 : {'model': 'finetuned_sub-10', 'test_subject': 'sub-06', 'accuracy': 0.8714285714285714, 'f1': 0.8714023270055113, 'recall': 0.8725490196078431, 'precision': 0.8734643734643734}
finetuned_sub-10_sub-07 : {'model': 'finetuned_sub-10', 'test_subject': 'sub-07', 'accuracy': 0.8333333333333334, 'f1': 0.83125, 'recall': 0.8333333333333333, 'precision': 0.8506493506493507}
finetuned_sub-10_sub-09 : {'model': 'finetuned_sub-10', 'test_subject': 'sub-09', 'accuracy': 0.8285714285714286, 'f1': 0.828009828009828, 'recall': 0.8276143790849673, 'precision': 0.8297697368421053}
finetuned_sub-10_sub-10 : {'model': 'finetuned_sub-10', 'test_subject': 'sub-10', 'accuracy': 0.9444444444444444, 'f1': 0.9444015444015443, 'recall': 0.9444444444444444, 'precision': 0.9458204334365325}
finetuned_sub-10_sub-11 : {'model': 'finetuned_sub-10', 'test_subject': 'sub-11', 'accuracy': 0.9305555555555556, 'f1': 0.9302190346966466, 'recall': 0.9305555555555556, 'precision': 0.9390243902439024}
finetuned_sub-10_sub-05 : {'model': 'finetuned_sub-10', 'test_subject': 'sub-05', 'accuracy': 0.9130434782608695, 'f1': 0.9128787878787878, 'recall': 0.9126050420168067, 'precision': 0.9146959459459459}
finetuned_sub-10_sub-02 : {'model': 'finetuned_sub-10', 'test_subject': 'sub-02', 'accuracy': 0.8333333333333334, 'f1': 0.8321678321678322, 'recall': 0.8333333333333333, 'precision': 0.8428571428571429}
finetuned_sub-10_sub-03 : {'model': 'finetuned_sub-10', 'test_subject': 'sub-03', 'accuracy': 0.8428571428571429, 'f1': 0.8428250663400694, 'recall': 0.8428571428571429, 'precision': 0.8431372549019608}
finetuned_sub-10_sub-04 : {'model': 'finetuned_sub-10', 'test_subject': 'sub-04', 'accuracy': 0.7916666666666666, 'f1': 0.7906571040899399, 'recall': 0.7942084942084942, 'precision': 0.8023809523809524}
finetuned_sub-11_sub-08 : {'model': 'finetuned_sub-11', 'test_subject': 'sub-08', 'accuracy': 0.7887323943661971, 'f1': 0.7844565877352763, 'recall': 0.7908730158730158, 'precision': 0.818695652173913}
finetuned_sub-11_sub-01 : {'model': 'finetuned_sub-11', 'test_subject': 'sub-01', 'accuracy': 0.7183098591549296, 'f1': 0.7169059011164274, 'recall': 0.7225755166931638, 'precision': 0.7298850574712643}
finetuned_sub-11_sub-06 : {'model': 'finetuned_sub-11', 'test_subject': 'sub-06', 'accuracy': 0.8857142857142857, 'f1': 0.8857142857142857, 'recall': 0.886437908496732, 'precision': 0.886437908496732}
finetuned_sub-11_sub-07 : {'model': 'finetuned_sub-11', 'test_subject': 'sub-07', 'accuracy': 0.875, 'f1': 0.8747826086956522, 'recall': 0.875, 'precision': 0.8776223776223776}
finetuned_sub-11_sub-09 : {'model': 'finetuned_sub-11', 'test_subject': 'sub-09', 'accuracy': 0.7714285714285715, 'f1': 0.7697368421052632, 'recall': 0.7745098039215685, 'precision': 0.7857142857142857}
finetuned_sub-11_sub-10 : {'model': 'finetuned_sub-11', 'test_subject': 'sub-10', 'accuracy': 0.9027777777777778, 'f1': 0.9026086956521739, 'recall': 0.9027777777777778, 'precision': 0.9055944055944056}
finetuned_sub-11_sub-11 : {'model': 'finetuned_sub-11', 'test_subject': 'sub-11', 'accuracy': 1.0, 'f1': 1.0, 'recall': 1.0, 'precision': 1.0}
finetuned_sub-11_sub-05 : {'model': 'finetuned_sub-11', 'test_subject': 'sub-05', 'accuracy': 0.8405797101449275, 'f1': 0.8371594078523923, 'recall': 0.838655462184874, 'precision': 0.8663636363636363}
finetuned_sub-11_sub-02 : {'model': 'finetuned_sub-11', 'test_subject': 'sub-02', 'accuracy': 0.9166666666666666, 'f1': 0.9166023166023166, 'recall': 0.9166666666666666, 'precision': 0.9179566563467492}
finetuned_sub-11_sub-03 : {'model': 'finetuned_sub-11', 'test_subject': 'sub-03', 'accuracy': 0.7857142857142857, 'f1': 0.7754010695187166, 'recall': 0.7857142857142857, 'precision': 0.85}
finetuned_sub-11_sub-04 : {'model': 'finetuned_sub-11', 'test_subject': 'sub-04', 'accuracy': 0.75, 'f1': 0.7482517482517483, 'recall': 0.7482625482625482, 'precision': 0.7529504327301337}
joint_sub-08 : {'model': 'joint', 'test_subject': 'sub-08', 'accuracy': 0.8450704225352113, 'f1': 0.8419348310058692, 'recall': 0.8472222222222222, 'precision': 0.8804347826086957}
joint_sub-01 : {'model': 'joint', 'test_subject': 'sub-01', 'accuracy': 0.9154929577464789, 'f1': 0.9154761904761904, 'recall': 0.9177265500794913, 'precision': 0.9190590111642744}
joint_sub-06 : {'model': 'joint', 'test_subject': 'sub-06', 'accuracy': 0.8142857142857143, 'f1': 0.8111641419381614, 'recall': 0.8186274509803921, 'precision': 0.8466666666666667}
joint_sub-07 : {'model': 'joint', 'test_subject': 'sub-07', 'accuracy': 0.9583333333333334, 'f1': 0.9583252942311402, 'recall': 0.9583333333333333, 'precision': 0.9586872586872587}
joint_sub-09 : {'model': 'joint', 'test_subject': 'sub-09', 'accuracy': 0.7285714285714285, 'f1': 0.7188755020080322, 'recall': 0.7344771241830066, 'precision': 0.7789115646258503}
joint_sub-10 : {'model': 'joint', 'test_subject': 'sub-10', 'accuracy': 0.8055555555555556, 'f1': 0.7979149959903769, 'recall': 0.8055555555555556, 'precision': 0.86}
joint_sub-11 : {'model': 'joint', 'test_subject': 'sub-11', 'accuracy': 0.9722222222222222, 'f1': 0.9722222222222222, 'recall': 0.9722222222222222, 'precision': 0.9722222222222222}
joint_sub-05 : {'model': 'joint', 'test_subject': 'sub-05', 'accuracy': 0.9710144927536232, 'f1': 0.970959595959596, 'recall': 0.9705882352941176, 'precision': 0.972972972972973}
joint_sub-02 : {'model': 'joint', 'test_subject': 'sub-02', 'accuracy': 0.9305555555555556, 'f1': 0.9305421570519004, 'recall': 0.9305555555555556, 'precision': 0.930888030888031}
joint_sub-03 : {'model': 'joint', 'test_subject': 'sub-03', 'accuracy': 0.8142857142857143, 'f1': 0.8095835948943293, 'recall': 0.8142857142857143, 'precision': 0.848731884057971}
joint_sub-04 : {'model': 'joint', 'test_subject': 'sub-04', 'accuracy': 0.9444444444444444, 'f1': 0.9444015444015443, 'recall': 0.9444015444015443, 'precision': 0.9444015444015443}
sub-05_sub-08 : {'model': 'sub-05', 'test_subject': 'sub-08', 'accuracy': 0.8028169014084507, 'f1': 0.8027777777777778, 'recall': 0.8027777777777778, 'precision': 0.8027777777777778}
sub-05_sub-01 : {'model': 'sub-05', 'test_subject': 'sub-01', 'accuracy': 0.5774647887323944, 'f1': 0.5773809523809523, 'recall': 0.579093799682035, 'precision': 0.5793460925039873}
sub-05_sub-06 : {'model': 'sub-05', 'test_subject': 'sub-06', 'accuracy': 0.8571428571428571, 'f1': 0.8570261437908497, 'recall': 0.8586601307189543, 'precision': 0.8610197368421053}
sub-05_sub-07 : {'model': 'sub-05', 'test_subject': 'sub-07', 'accuracy': 0.9583333333333334, 'f1': 0.9583252942311402, 'recall': 0.9583333333333333, 'precision': 0.9586872586872587}
sub-05_sub-09 : {'model': 'sub-05', 'test_subject': 'sub-09', 'accuracy': 0.8, 'f1': 0.7973531844499586, 'recall': 0.803921568627451, 'precision': 0.8251748251748252}
sub-05_sub-10 : {'model': 'sub-05', 'test_subject': 'sub-10', 'accuracy': 0.7083333333333334, 'f1': 0.6911133810010215, 'recall': 0.7083333333333333, 'precision': 0.7681231380337636}
sub-05_sub-11 : {'model': 'sub-05', 'test_subject': 'sub-11', 'accuracy': 0.8194444444444444, 'f1': 0.8177215189873418, 'recall': 0.8194444444444444, 'precision': 0.8319967923015237}
sub-05_sub-05 : {'model': 'sub-05', 'test_subject': 'sub-05', 'accuracy': 0.9420289855072463, 'f1': 0.9419191919191919, 'recall': 0.9415966386554622, 'precision': 0.9438344594594594}
sub-05_sub-02 : {'model': 'sub-05', 'test_subject': 'sub-02', 'accuracy': 0.75, 'f1': 0.7482517482517483, 'recall': 0.75, 'precision': 0.7571428571428571}
sub-05_sub-03 : {'model': 'sub-05', 'test_subject': 'sub-03', 'accuracy': 0.6571428571428571, 'f1': 0.6428571428571428, 'recall': 0.6571428571428571, 'precision': 0.6870748299319728}
sub-05_sub-04 : {'model': 'sub-05', 'test_subject': 'sub-04', 'accuracy': 0.5833333333333334, 'f1': 0.5820433436532508, 'recall': 0.5822393822393822, 'precision': 0.5827505827505828}
sub-02_sub-08 : {'model': 'sub-02', 'test_subject': 'sub-08', 'accuracy': 0.8732394366197183, 'f1': 0.8723276723276723, 'recall': 0.8746031746031746, 'precision': 0.8875205254515599}
sub-02_sub-01 : {'model': 'sub-02', 'test_subject': 'sub-01', 'accuracy': 0.5211267605633803, 'f1': 0.4987541528239202, 'recall': 0.5131160572337043, 'precision': 0.5153061224489797}
sub-02_sub-06 : {'model': 'sub-02', 'test_subject': 'sub-06', 'accuracy': 0.8285714285714286, 'f1': 0.8273026315789473, 'recall': 0.8316993464052287, 'precision': 0.8452380952380952}
sub-02_sub-07 : {'model': 'sub-02', 'test_subject': 'sub-07', 'accuracy': 0.9444444444444444, 'f1': 0.9444015444015443, 'recall': 0.9444444444444444, 'precision': 0.9458204334365325}
sub-02_sub-09 : {'model': 'sub-02', 'test_subject': 'sub-09', 'accuracy': 0.7714285714285715, 'f1': 0.7666666666666666, 'recall': 0.7761437908496732, 'precision': 0.806159420289855}
sub-02_sub-10 : {'model': 'sub-02', 'test_subject': 'sub-10', 'accuracy': 0.875, 'f1': 0.8743942624539639, 'recall': 0.875, 'precision': 0.8823760818253343}
sub-02_sub-11 : {'model': 'sub-02', 'test_subject': 'sub-11', 'accuracy': 0.9305555555555556, 'f1': 0.9305421570519004, 'recall': 0.9305555555555556, 'precision': 0.930888030888031}
sub-02_sub-05 : {'model': 'sub-02', 'test_subject': 'sub-05', 'accuracy': 0.8695652173913043, 'f1': 0.8691253951527924, 'recall': 0.8689075630252101, 'precision': 0.8726655348047538}
sub-02_sub-02 : {'model': 'sub-02', 'test_subject': 'sub-02', 'accuracy': 0.9305555555555556, 'f1': 0.9305421570519004, 'recall': 0.9305555555555556, 'precision': 0.930888030888031}
sub-02_sub-03 : {'model': 'sub-02', 'test_subject': 'sub-03', 'accuracy': 0.9428571428571428, 'f1': 0.9428104575163399, 'recall': 0.9428571428571428, 'precision': 0.9443079443079443}
sub-02_sub-04 : {'model': 'sub-02', 'test_subject': 'sub-04', 'accuracy': 0.8472222222222222, 'f1': 0.8457643622200585, 'recall': 0.8451737451737452, 'precision': 0.8547619047619048}
sub-03_sub-08 : {'model': 'sub-03', 'test_subject': 'sub-08', 'accuracy': 0.9295774647887324, 'f1': 0.9293532338308458, 'recall': 0.928968253968254, 'precision': 0.9330929487179487}
sub-03_sub-01 : {'model': 'sub-03', 'test_subject': 'sub-01', 'accuracy': 0.5915492957746479, 'f1': 0.5862969660438015, 'recall': 0.5878378378378378, 'precision': 0.5907224958949097}
sub-03_sub-06 : {'model': 'sub-03', 'test_subject': 'sub-06', 'accuracy': 0.8571428571428571, 'f1': 0.8570261437908497, 'recall': 0.8570261437908497, 'precision': 0.8570261437908497}
sub-03_sub-07 : {'model': 'sub-03', 'test_subject': 'sub-07', 'accuracy': 0.875, 'f1': 0.8743942624539639, 'recall': 0.875, 'precision': 0.8823760818253343}
sub-03_sub-09 : {'model': 'sub-03', 'test_subject': 'sub-09', 'accuracy': 0.9285714285714286, 'f1': 0.9285568483363952, 'recall': 0.928921568627451, 'precision': 0.9285714285714286}
sub-03_sub-10 : {'model': 'sub-03', 'test_subject': 'sub-10', 'accuracy': 0.8472222222222222, 'f1': 0.8469565217391304, 'recall': 0.8472222222222222, 'precision': 0.8496503496503496}
sub-03_sub-11 : {'model': 'sub-03', 'test_subject': 'sub-11', 'accuracy': 0.9027777777777778, 'f1': 0.9027590198726606, 'recall': 0.9027777777777777, 'precision': 0.9030888030888031}
sub-03_sub-05 : {'model': 'sub-03', 'test_subject': 'sub-05', 'accuracy': 0.9130434782608695, 'f1': 0.9128787878787878, 'recall': 0.9138655462184874, 'precision': 0.918081494057725}
sub-03_sub-02 : {'model': 'sub-03', 'test_subject': 'sub-02', 'accuracy': 0.8333333333333334, 'f1': 0.83125, 'recall': 0.8333333333333333, 'precision': 0.8506493506493507}
sub-03_sub-03 : {'model': 'sub-03', 'test_subject': 'sub-03', 'accuracy': 0.9428571428571428, 'f1': 0.9428104575163399, 'recall': 0.9428571428571428, 'precision': 0.9443079443079443}
sub-03_sub-04 : {'model': 'sub-03', 'test_subject': 'sub-04', 'accuracy': 0.6388888888888888, 'f1': 0.634375, 'recall': 0.6424710424710425, 'precision': 0.6518518518518519}
sub-04_sub-08 : {'model': 'sub-04', 'test_subject': 'sub-08', 'accuracy': 0.6901408450704225, 'f1': 0.6662393162393162, 'recall': 0.694047619047619, 'precision': 0.7778409090909091}
sub-04_sub-01 : {'model': 'sub-04', 'test_subject': 'sub-01', 'accuracy': 0.5633802816901409, 'f1': 0.563033551717292, 'recall': 0.5631955484896661, 'precision': 0.5630952380952381}
sub-04_sub-06 : {'model': 'sub-04', 'test_subject': 'sub-06', 'accuracy': 0.6142857142857143, 'f1': 0.6103896103896104, 'recall': 0.6176470588235294, 'precision': 0.624031007751938}
sub-04_sub-07 : {'model': 'sub-04', 'test_subject': 'sub-07', 'accuracy': 0.6527777777777778, 'f1': 0.6444795575745605, 'recall': 0.6527777777777778, 'precision': 0.6685106382978723}
sub-04_sub-09 : {'model': 'sub-04', 'test_subject': 'sub-09', 'accuracy': 0.5142857142857142, 'f1': 0.46105072463768115, 'recall': 0.5236928104575164, 'precision': 0.5416666666666667}
sub-04_sub-10 : {'model': 'sub-04', 'test_subject': 'sub-10', 'accuracy': 0.5972222222222222, 'f1': 0.5933787731256086, 'recall': 0.5972222222222222, 'precision': 0.6010425020048116}
sub-04_sub-11 : {'model': 'sub-04', 'test_subject': 'sub-11', 'accuracy': 0.9444444444444444, 'f1': 0.9442724458204335, 'recall': 0.9444444444444444, 'precision': 0.95}
sub-04_sub-05 : {'model': 'sub-04', 'test_subject': 'sub-05', 'accuracy': 0.8695652173913043, 'f1': 0.8677879497551628, 'recall': 0.8680672268907563, 'precision': 0.8862433862433863}
sub-04_sub-02 : {'model': 'sub-04', 'test_subject': 'sub-02', 'accuracy': 0.8888888888888888, 'f1': 0.8888888888888888, 'recall': 0.8888888888888888, 'precision': 0.8888888888888888}
sub-04_sub-03 : {'model': 'sub-04', 'test_subject': 'sub-03', 'accuracy': 0.7, 'f1': 0.6761401189689359, 'recall': 0.7, 'precision': 0.7835648148148149}
sub-04_sub-04 : {'model': 'sub-04', 'test_subject': 'sub-04', 'accuracy': 0.9722222222222222, 'f1': 0.9722007722007722, 'recall': 0.9722007722007722, 'precision': 0.9722007722007722}
ensemble_sub-08 : {'model': 'ensemble', 'test_subject': 'sub-08', 'accuracy': 0.5915492957746479, 'f1': 0.5163260512097722, 'recall': 0.5861111111111111, 'precision': 0.7152777777777778}
ensemble_sub-01 : {'model': 'ensemble', 'test_subject': 'sub-01', 'accuracy': 0.6338028169014085, 'f1': 0.5604761904761905, 'recall': 0.6176470588235294, 'precision': 0.7936507936507937}
ensemble_sub-06 : {'model': 'ensemble', 'test_subject': 'sub-06', 'accuracy': 0.7, 'f1': 0.6636925188743994, 'recall': 0.6911764705882353, 'precision': 0.8157894736842105}
ensemble_sub-07 : {'model': 'ensemble', 'test_subject': 'sub-07', 'accuracy': 0.6944444444444444, 'f1': 0.6629787234042553, 'recall': 0.6944444444444444, 'precision': 0.8103448275862069}
